Performance.KDTMean,Performance.MAMean,Performance.MVMean,Performance.TBCMean,Performance.DDCMean,Performance.DMSMean,Performance.AEDMean,Performance.ADMSLMean,ExhaustionLevel,Performance.Task
"0,4996360765","0,4694961431","0,3670262397","0,4244966138","0,4197842869","0,2702000803","0,1825284184","0,3382583548","0,6",1
"0,5022464959","0,4712202075","0,3650751105","0,4564743997","0,3112531316","0,3001139024","0,2003733468","0,4691564119","0,6",1
"0,5010976978","0,4440350854","0,3416068266","0,4299800654","0,4523913759","0,2469731432","0,194676272","0,3701741101","0,6",1
"0,5001478294","0,4498012008","0,3539746786","0,4280626765","0,5050705503","0,2389322994","0,1847119969","0,2803156211","0,6",1
"0,4998727276","0,477935804","0,3825578722","0,4322283521","0,4386993048","0,3259490852","0,1827508459","0,7382033001","0,6",1
"0,499318739","0,450694203","0,3546342368","0,4418223172","0,2176518743","0,263850062","0,245474383","0,4671931434","0,6",1
"0,5001723504","0,4005652627","0,315528854","0,4584025521","0,8555425667","0,2182048372","0,1923519613","0,1985061254","0,6",1
"0,4996903543","0,4325360335","0,3388398872","0,4254669056","0,8065771676","0,2355995868","0,1853298458","0,2970152076","0,6",1
"0,5007357195","0,448673921","0,3501495487","0,4192169824","0,4001407757","0,2386290183","0,1762914874","0,3511050235","0,6",1
"0,5011928174","0,4478456306","0,3514575214","0,4364914334","0,2196087056","0,2490497299","0,1941055072","0,4759461154","0,6",1
1,"0,4640772264","0,3719886304","0,4206758353","0,2883586577","0,2617398854","0,1993231853","0,5549084732","0,2",1
"0,6139715673","0,4438330923","0,3504766356","0,4244910597","0,2718890211","0,2740928914","0,1941384743","0,4804549531","0,2",1
"0,6363621001","0,4570233041","0,3649877131","0,4191576914","0,3561124429","0,2434514395","0,1762990386","0,3621897223","0,2",1
"0,4993088407","0,4456021757","0,3503114004","0,4296866052","0,2115575799","0,3192792001","0,1812174283","0,524186798","0,2",1
"0,5009236048","0,4231590472","0,3300379242","0,4319806462","0,6686961077","0,2479838407","0,1892663564","0,426192512","0,2",1
"0,5806507296","0,4404524983","0,3527447855","0,4206080904","0,3264308219","0,2241844769","0,2019646073","0,2987884989","0,2",1
"0,6320146467","0,4030010863","0,3238268824","0,4171668043","0,5815222256","0,2180596943","0,1982221335","0,2353670209","0,2",1
"0,5717602786","0,4295524742","0,3361131334","0,4199999124","0,3178297205","0,2346039039","0,1847855749","0,3652866051","0,2",1
"0,5234684489","0,4197603074","0,329373947","0,4295891367","0,2191154855","0,2210289907","0,1942782161","0,2835841134","0,2",1
"0,5423007454","0,4373059194","0,3492455803","0,4228002997","0,2147299659","0,2351732393","0,1807636696","0,3144377975","0,4",1
"0,5380424607","0,4231776417","0,3341960152","0,4223329608","0,2181587606","0,2181044599","0,1916218553","0,2153043847","0,4",1
"0,5719072621","0,4289102382","0,3345310259","0,4216272184","0,2407143706","0,2138501082","0,192487771","0,2076547359","0,4",1
"0,6771946192","0,3999276953","0,3143292335","0,4174992206","0,2157305285","0,2141876811","0,1677674785","0,2014309543","0,4",1
